a co	A.co	0	23	1
a comparison of the conception of god in the thinking of paul tillich and henry nelson wieman	A Comparison of the Conception of God in the Thinking of Paul Tillich and Henry Nelson Wieman	0	40	849
a human	A human	0	11	1
aaron	Elvis Aaron Presley	0	20	1
aaron	Elvis aaron	0	20	1
ababa	Addis Ababa lion	0	40	235
abeba	Addis Abeba lion	0	40	196
abolition	Abolition Amendment	0	9	2
abolition	U.S. abolition of slavery	0	9	2
abolition amendment	Abolition Amendment	0	9	2
aboral	Aboral	0	0	15
about	I Ain't About to Sing	0	20	1
abuse	Alcoholic abuse	0	20	2
abyssinian	Abyssinian lion	0	40	1197
abyssinian lion	Abyssinian lion	0	40	1197
abyssinica	Panthera leo abyssinica	0	26	0
accession	Accession of Queen Elizabeth II	0	40	675
accession of queen elizabeth ii	Accession of Queen Elizabeth II	0	40	675
accident	Bob Dylan motorbike accident	0	40	1247
accident	Bob Dylan motorcycle accident	0	40	307
accounts	Youtube accounts	0	17	1
aci	ACI Gift Cards	0	23	1
aci gift cards	ACI Gift Cards	0	23	1
acoustic	Acoustic communication in frogs	0	40	621
acoustic	Acoustic communication in insects	0	40	326
acoustic communication in frogs	Acoustic communication in frogs	0	40	621
acoustic communication in insects	Acoustic communication in insects	0	40	326
acquired	Acquired Immune Deficiency Syndrome	0	12	2
acquired	Acquired Immunodeficiency Syndrome	0	12	2
acquired	Acquired immune deficiency syndrome	0	12	2
acquired	Acquired immune deficiency syndrome or acquired immunodeficiency syndrome	0	12	2
acquired	Acquired immunodeficiency syndrome	0	12	2
acquired	Human Immunodeficiency Virus and Acquired Immune Deficiency Syndrome	0	12	2
acquired	Human immunodeficiency virus infection and acquired immune deficiency syndrome	0	12	2
acquired	Human immunodeficiency virus infection and acquired immunodeficiency syndrome	0	12	2
acquired	Human immunodeficiency virus/acquired immune deficiency syndrome	0	12	2
acquired immune deficiency syndrome	Acquired Immune Deficiency Syndrome	0	12	2
acquired immune deficiency syndrome	Acquired immune deficiency syndrome	0	12	2
acquired immune deficiency syndrome or acquired immunodeficiency syndrome	Acquired immune deficiency syndrome or acquired immunodeficiency syndrome	0	12	2
acquired immunodeficiency syndrome	Acquired Immunodeficiency Syndrome	0	12	2
acquired immunodeficiency syndrome	Acquired immunodeficiency syndrome	0	12	2
act	1965 Civil Rights Act	0	18	1
act	1965 Voting Rights Act	0	18	1
act	1965 Voting Rights act	0	18	1
act	Annuity to Prince of Wales, etc. Act 1803	0	40	529
act	Birmingham Corporation Act 1914	0	40	855
act	Civil Rights Act of 1965	0	18	1
act	National Voting Rights Act of 1965	0	18	1
act	Prince of Wales Act 1795	0	40	1063
act	Section 5 of the Voting Rights Act	0	40	300
act	The Voting Rights Act	0	18	1
act	Voter rights act	0	18	1
act	Voter rights act of 1965	0	18	1
act	Voting Rights Act	0	18	1
act	Voting Rights Act (1965)	0	18	1
act	Voting Rights Act of 1965	0	18	1
act	Voting rights act	0	18	1
action	Enzyme action	0	9	0
action	Mechanisms of enzyme action	0	9	0
action	Protein action	0	40	382
activism	Political activism of African Americans	0	40	124
actor	The King (actor-singer)	0	20	1
acute	Acute Myocardial Infarction	0	36	0
acute	Acute alcoholism	0	20	2
acute	Acute myocardial infarction	0	36	0
acute	Acute myocardial ischemia	0	36	0
acute alcoholism	Acute alcoholism	0	20	2
acute myocardial infarction	Acute Myocardial Infarction	0	36	0
acute myocardial infarction	Acute myocardial infarction	0	36	0
acute myocardial ischemia	Acute myocardial ischemia	0	36	0
addict	Alcohol addict	0	20	2
addiction	Addiction to alcohol	0	20	2
addiction	Alcohal addiction	0	20	2
addiction	Alcohol addiction	0	20	2
addiction to alcohol	Addiction to alcohol	0	20	2
addis	Addis Ababa lion	0	40	235
addis	Addis Abeba lion	0	40	196
addis ababa lion	Addis Ababa lion	0	40	235
addis abeba lion	Addis Abeba lion	0	40	196
administrating	Administrating director	0	0	14
administrating director	Administrating director	0	0	14
administration	Hong Kong Special Administration Region	0	21	0
administrations	U.S. administrations	0	27	4
administrative	Administrative divisions of USA	0	24	1
administrative	Administrative divisions of the U.S.	0	24	1
administrative	Administrative divisions of the United States	0	24	1
administrative	Administrative subdivisions of the United States	0	24	1
administrative	China, Hong Kong Special Administrative Region	0	21	0
administrative	HK Special Administrative Region	0	21	0
administrative	Hong Kong Special Administrative Region	0	21	0
administrative	Hong Kong Special Administrative Region of China	0	21	0
administrative	Hong Kong Special Administrative Region of the People's Republic of China	0	21	0
administrative	Hong Kong Special Administrative Republic	0	21	0
administrative divisions of the u s	Administrative divisions of the U.S.	0	24	1
administrative divisions of the united states	Administrative divisions of the United States	0	24	1
administrative divisions of usa	Administrative divisions of USA	0	24	1
administrative subdivisions of the united states	Administrative subdivisions of the United States	0	24	1
administrator	Chief administrator	0	0	14
adsense	Youtube Adsense	0	40	213
adtube	AdTube	0	17	1
ae	Youtube.ae	0	17	1
aeroflot	Aeroflot Stadium	0	30	1
aeroflot stadium	Aeroflot Stadium	0	30	1
affiliates	Amazon Affiliates	0	40	831
affiliation	List of Presidents of the United States by political affiliation	0	27	4
affiliation	List of U.S. Presidents by Political Affiliation	0	27	4
affiliation	List of U.S. Presidents by political affiliation	0	27	4
affiliation	List of United States Presidents by political affiliation	0	27	4
africa	Africa American	0	35	1
africa	Elizabeth II of South Africa	0	24	0
africa	Elizabeth II, Queen of South Africa	0	24	0
africa	Elizabeth the Second, Queen of South Africa and of Her other Realms and Territories, Head of the Commonwealth	0	24	0
africa	Elizabeth, Queen of South Africa	0	24	0
africa	Lions in Africa	0	40	423
africa	Queen Elizabeth II of South Africa	0	24	0
africa	Spanish language in Africa	0	40	698
africa american	Africa American	0	35	1
african	African Amerian	0	35	1
african	African America	0	35	1
african	African American	0	35	1
african	African American education	0	40	425
african	African American experience	0	40	896
african	African American health	0	40	741
african	African American male	0	35	1
african	African American people	0	35	1
african	African American sexuality	0	40	1072
african	African American/summary	0	35	1
african	African Americans	0	35	1
african	African Americans in politics	0	40	1259
african	African Lion	0	40	374
african	African american	0	35	1
african	African american male	0	35	1
african	African americans	0	35	1
african	African lion	0	40	199
african	African lions	0	40	1138
african	African- American	0	35	1
african	African-Amerian	0	35	1
african	African-American	0	35	1
african	African-American education	0	40	1205
african	African-American experience	0	40	949
african	African-American health	0	40	98
african	African-American people	0	35	1
african	African-American sexuality	0	40	247
african	African-American social issues	0	40	869
african	African-Americans	0	35	1
african	African-american	0	35	1
african	African-americans	0	35	1
african	African/American	0	35	1
african	African–American	0	35	1
african	American people of African descent	0	35	1
african	Ancestry of African Americans	0	40	806
african	Black or African-American	0	35	1
african	Central African lion	0	40	1069
african	Demographics of African Americans	0	40	246
african	East-Central African lion	0	40	607
african	Economic status of African Americans	0	40	272
african	Education of African Americans	0	40	1257
african	Educational attainment of African Americans	0	40	443
african	Genetic studies on African Americans	0	40	811
african	Genetic studies on African-Americans	0	40	951
african	Health of African Americans	0	40	1009
african	Health of African Americans in the United States	0	40	548
african	Health status of African Americans	0	40	1065
african	Health status of African-Americans	0	40	735
african	Mental health in African American communities	0	40	493
african	Mental health of African Americans	0	40	604
african	Middle African lion	0	26	0
african	Non-Hispanic or Latino African Americans	0	35	1
african	Northeast African lion	0	40	1200
african	Political activism of African Americans	0	40	124
african	Political participation of African Americans	0	40	1119
african	Political views of African-Americans	0	40	984
african	Religious beliefs of African Americans	0	40	373
african	Social status of African Americans	0	40	901
african	Socioeconomic status of African Americans	0	40	99
african	Sub-Saharan African lion	0	40	929
african	The African-American experience	0	40	1062
african amerian	African Amerian	0	35	1
african amerian	African-Amerian	0	35	1
african america	African America	0	35	1
african american	African American	0	35	1
african american	African american	0	35	1
african american	African- American	0	35	1
african american	African-American	0	35	1
african american	African-american	0	35	1
african american	African/American	0	35	1
african american	African–American	0	35	1
african american education	African American education	0	40	425
african american education	African-American education	0	40	1205
african american experience	African American experience	0	40	896
african american experience	African-American experience	0	40	949
african american health	African American health	0	40	741
african american health	African-American health	0	40	98
african american male	African American male	0	35	1
african american male	African american male	0	35	1
african american people	African American people	0	35	1
african american people	African-American people	0	35	1
african american sexuality	African American sexuality	0	40	1072
african american sexuality	African-American sexuality	0	40	247
african american social issues	African-American social issues	0	40	869
african american summary	African American/summary	0	35	1
african americans	African Americans	0	35	1
african americans	African americans	0	35	1
african americans	African-Americans	0	35	1
african americans	African-americans	0	35	1
african americans in politics	African Americans in politics	0	40	1259
african lion	African Lion	0	40	374
african lion	African lion	0	40	199
african lions	African lions	0	40	1138
africanamericanpeople	AfricanAmericanPeople	0	35	1
africanus	Africanus niger	0	40	1010
africanus niger	Africanus niger	0	40	1010
afrimerican	Afrimerican	0	35	1
afro	Afro American	0	35	1
afro	Afro Americans	0	35	1
afro	Afro-America	0	35	1
afro	Afro-American	0	35	1
afro	Afro-Americans	0	35	1
afro	Afro-american	0	35	1
afro america	Afro-America	0	35	1
afro american	Afro American	0	35	1
afro american	Afro-American	0	35	1
afro american	Afro-american	0	35	1
afro americans	Afro Americans	0	35	1
afro americans	Afro-Americans	0	35	1
afroamerican	AfroAmerican	0	35	1
afroamerican	Afroamerican	0	35	1
afroamericans	Afroamericans	0	35	1
after	The Beatles' studio years after concert years	0	40	750
afterschool	AfterSchool.com	0	23	1
afterschool com	AfterSchool.com	0	23	1
against	Discrimination against Native Americans	0	40	1027
against	Discrimination against Native Americans in the United States	0	40	630
against	Discrimination against indigenous peoples of the United States	0	40	227
age	Second Elizabethan Age	0	40	444
age	Second Elizabethan age	0	40	150
agent	Agent MJ	0	4	0
agent mj	Agent MJ	0	4	0
ahnentafel	Ahnentafel of Elizabeth II of the United Kingdom	0	40	664
ahnentafel	Ahnentafel of Queen Elizabeth II	0	40	441
ahnentafel of elizabeth ii of the united kingdom	Ahnentafel of Elizabeth II of the United Kingdom	0	40	664
ahnentafel of queen elizabeth ii	Ahnentafel of Queen Elizabeth II	0	40	441
aids	AIDS	0	12	2
aids	AIDS (Disease)	0	12	2
aids	AIDS (medicine)	0	12	2
aids	AIDS Virus	0	35	0
aids	AIDS and lymphoma	0	12	2
aids	AIDS info	0	12	2
aids	AIDS patients	0	12	2
aids	AIDS related complications	0	12	2
aids	AIDS skin changes	0	12	2
aids	AIDS stages	0	12	2
aids	AIDS transmission	0	40	576
aids	AIDS virus	0	35	0
aids	AIDS wasting syndrome	0	40	903
aids	AIDS-related complications	0	12	2
aids	AIDS/HIV	0	12	2
aids	AIDs	0	12	2
aids	Aids	0	12	2
aids	Aids Symptoms	0	40	176
aids	Aids arteritis, central nervous system	0	12	2
aids	Aids by association	0	12	2
aids	Aids virus	0	35	0
aids	Congenital AIDS	0	40	1144
aids	Congenital HIV/AIDS	0	40	336
aids	HIV (AIDS)	0	35	0
aids	HIV AIDS	0	12	2
aids	HIV and AIDS	0	12	2
aids	HIV-AIDS	0	12	2
aids	HIV/ AIDS	0	12	2
aids	HIV/AIDS	0	12	2
aids	HIV/AIDS hypothesis	0	12	2
aids	HIV/AIDS transmission	0	40	709
aids	HIV/Aids	0	12	2
aids	Stigma of AIDS	0	40	1091
aids	The aids	0	12	2
aids	Transmission of AIDS	0	40	667
aids	Transmission of HIV/AIDS	0	40	1222
aids and lymphoma	AIDS and lymphoma	0	12	2
aids arteritis central nervous system	Aids arteritis, central nervous system	0	12	2
aids by association	Aids by association	0	12	2
aids disease	AIDS (Disease)	0	12	2
aids hiv	AIDS/HIV	0	12	2
aids info	AIDS info	0	12	2
aids medicine	AIDS (medicine)	0	12	2
aids patients	AIDS patients	0	12	2
aids related complications	AIDS related complications	0	12	2
aids related complications	AIDS-related complications	0	12	2
aids skin changes	AIDS skin changes	0	12	2
aids stages	AIDS stages	0	12	2
aids symptoms	Aids Symptoms	0	40	176
aids transmission	AIDS transmission	0	40	576
